gates starting on commit 3f07a6ea007dec7925c6ffb36e710025427f55bb at 2026-08-06T20:48:04Z
=== gate 1: 100 provider-worker lifecycles ===
stress: target=agents runs=100 order=declared mode=in-process pid=218021
    12 ok   44.46s threads+0 fd+0 rss+81672K
    13 ok   44.98s threads+0 fd+0 rss+83004K
    14 ok   45.88s threads+0 fd+0 rss+83688K
    15 ok   44.78s threads+0 fd+0 rss+83084K
    16 ok   45.52s threads+0 fd+0 rss+81064K
    17 ok   45.67s threads+0 fd+0 rss+84160K
    18 ok   44.19s threads+0 fd+0 rss+83152K
    19 ok   45.55s threads+0 fd+0 rss+81748K
    20 ok   45.46s threads+0 fd+0 rss+82144K
    21 ok   45.94s threads+0 fd+0 rss+80764K
    22 ok   44.93s threads+0 fd+0 rss+82828K
    23 ok   46.23s threads+0 fd+0 rss+84228K
    24 ok   56.15s threads+1 fd+0 rss+83968K
    25 ok   46.05s threads-1 fd+0 rss+83864K
    26 ok   44.99s threads+0 fd+0 rss+84240K
    27 ok   44.40s threads+0 fd+0 rss+85548K
    28 ok   46.01s threads+0 fd+0 rss+85332K
    29 ok   44.56s threads+0 fd+0 rss+85344K
    30 ok   56.45s threads+1 fd+0 rss+84824K
    31 ok   43.40s threads-1 fd+0 rss+84520K
    32 ok   45.96s threads+0 fd+0 rss+85336K
    33 ok   45.62s threads+0 fd+0 rss+83684K
    34 ok   45.76s threads+0 fd+0 rss+83228K
    35 ok   44.89s threads+0 fd+0 rss+84196K
    36 ok   44.71s threads+0 fd+0 rss+85684K
    37 ok   45.57s threads+0 fd+0 rss+84216K
    38 ok   45.15s threads+0 fd+0 rss+84784K
    39 ok   44.76s threads+0 fd+0 rss+85632K
    40 ok   45.51s threads+0 fd+0 rss+85676K
    41 ok   46.35s threads+0 fd+0 rss+85580K
    42 ok   44.86s threads+0 fd+0 rss+85932K
    43 ok   45.52s threads+0 fd+0 rss+85756K
    44 ok   44.10s threads+0 fd+0 rss+86776K
    45 ok   45.83s threads+0 fd+0 rss+86020K
    46 ok   45.59s threads+0 fd+0 rss+86064K
    47 ok   43.05s threads+0 fd+0 rss+85932K
    48 ok   43.39s threads+0 fd+0 rss+85704K
    49 ok   43.14s threads+0 fd+0 rss+85744K
    50 ok   42.64s threads+0 fd+0 rss+86052K
stress: 50/50 passed, longest consecutive 50
gate 2 exit: 0
=== gate 3: 20 installed local-provider slices ===
