gates starting on commit db9e0b1d6cebfa1e9b741feb0ed76e6409857b7d at 2026-08-06T01:58:37Z
=== gate 1: 100 capture-worker lifecycles ===
stress: target=speech runs=100 order=declared mode=in-process pid=13115
    12 ok   39.67s threads+0 fd+0 rss+75520K
    13 ok   39.87s threads+0 fd+0 rss+73140K
    14 ok   39.90s threads+0 fd+0 rss+73560K
    15 ok   40.36s threads+0 fd+0 rss+76756K
    16 ok   40.71s threads+0 fd+0 rss+73476K
    17 ok   40.59s threads+0 fd+0 rss+74560K
    18 ok   40.38s threads+0 fd+0 rss+75492K
    19 ok   40.47s threads+0 fd+0 rss+74548K
    20 ok   40.73s threads+0 fd+0 rss+74164K
    21 ok   40.61s threads+0 fd+0 rss+74568K
    22 ok   40.84s threads+0 fd+0 rss+74608K
    23 ok   40.39s threads+0 fd+0 rss+75508K
    24 ok   40.54s threads+0 fd+0 rss+75616K
    25 ok   40.67s threads+0 fd+0 rss+76636K
    26 ok   40.82s threads+0 fd+0 rss+74856K
    27 ok   40.55s threads+0 fd+0 rss+74700K
    28 ok   40.75s threads+0 fd+0 rss+74796K
    29 ok   40.82s threads+0 fd+0 rss+76424K
    30 ok   40.92s threads+0 fd+0 rss+75420K
    31 ok   40.83s threads+0 fd+0 rss+74848K
    32 ok   40.53s threads+0 fd+0 rss+75128K
    33 ok   40.99s threads+0 fd+0 rss+74704K
    34 ok   41.06s threads+0 fd+0 rss+75112K
    35 ok   40.57s threads+0 fd+0 rss+75984K
    36 ok   40.89s threads+0 fd+0 rss+76016K
    37 ok   40.98s threads+0 fd+0 rss+76052K
    38 ok   41.02s threads+0 fd+0 rss+76024K
    39 ok   40.67s threads+0 fd+0 rss+76984K
    40 ok   41.01s threads+0 fd+0 rss+76980K
    41 ok   40.86s threads+0 fd+0 rss+76432K
    42 ok   40.83s threads+0 fd+0 rss+76992K
    43 ok   41.14s threads+0 fd+0 rss+76984K
    44 ok   41.31s threads+0 fd+0 rss+76988K
    45 ok   41.23s threads+0 fd+0 rss+75628K
    46 ok   41.28s threads+0 fd+0 rss+76660K
    47 ok   40.66s threads+0 fd+0 rss+77004K
    48 ok   40.93s threads+0 fd+0 rss+77012K
    49 ok   41.33s threads+0 fd+0 rss+77016K
    50 ok   41.16s threads+0 fd+0 rss+77452K
stress: 50/50 passed, longest consecutive 50
gate 2 exit: 0
=== gate 3: 20 installed speech-input slices ===
stress: target=speech-slice runs=20 order=declared mode=in-process pid=178340
     1 ok   11.88s threads+0 fd+0 rss+121980K
     2 ok   11.79s threads+0 fd+0 rss+133588K
     3 ok   11.79s threads+0 fd+0 rss+138488K
     4 ok   11.79s threads+0 fd+0 rss+144040K
     5 ok   11.63s threads+0 fd+0 rss+145160K
     6 ok   11.78s threads+0 fd+0 rss+165808K
     7 ok   11.63s threads+0 fd+0 rss+169992K
     8 ok   11.79s threads+0 fd+0 rss+174436K
     9 ok   11.63s threads+0 fd+0 rss+174816K
    10 ok   11.62s threads+0 fd+0 rss+198140K
    11 ok   11.62s threads+0 fd+0 rss+202416K
    12 ok   11.62s threads+0 fd+0 rss+206440K
    13 ok   11.62s threads+0 fd+0 rss+210892K
    14 ok   11.64s threads+0 fd+0 rss+215012K
    15 ok   11.63s threads+0 fd+0 rss+218984K
    16 ok   11.78s threads+0 fd+0 rss+219368K
    17 ok   11.58s threads+0 fd+0 rss+223352K
    18 ok   11.62s threads+0 fd+0 rss+227400K
    19 ok   11.77s threads+0 fd+0 rss+231492K
    20 ok   11.79s threads+0 fd+0 rss+235840K
stress: 20/20 passed, longest consecutive 20
gate 3 exit: 0
gates finished at 2026-08-06T02:38:42Z
